Title,Author,Length
Drop Dead,By: Lily Chu,Length: 11 hrs and 25 mins
Lights Out,By: Navessa Allen,Length: 13 hrs and 38 mins
The Mirror,By: Nora Roberts,Length: 13 hrs and 48 mins
Slap Shot Surprise,By: Melanie Harlow,Length: 9 hrs and 36 mins
Sgt. Thor the Damned,"By: Jason Anspach, Nick Cole",Length: 10 hrs and 8 mins
The Great Indoors,By: Ginny Hogan,Length: 3 hrs and 53 mins
The Well of Ascension,By: Brandon Sanderson,Length: 28 hrs and 56 mins
"Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
The Great When,By: Alan Moore,Length: 13 hrs and 28 mins
The Hero of Ages,By: Brandon Sanderson,Length: 27 hrs and 25 mins
Nexus,By: Yuval Noah Harari,Length: 17 hrs and 28 mins
Dragonhunters,By: Garon Whited,Length: 8 hrs and 54 mins
The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
By Blood to Avenge,By: Natasha Knight,Length: 6 hrs and 54 mins
The Housemaid Is Watching,By: Freida McFadden,Length: 11 hrs and 42 mins
The Rocker's Muse,By: Penelope Ward,Length: 7 hrs and 57 mins
Unleashed,By: Boris Johnson,Length: 12 hrs
Road of Vengeance,"By: J.N. Chaney, Rick Partlow",Length: 10 hrs and 2 mins
Forbidden Puckboy,"By: Eden Finley, Saxon James",Length: 6 hrs and 58 mins
Oathbringer,By: Brandon Sanderson,Length: 55 hrs and 5 mins
The Alchemist of Brushstrokes and Brimstone,By: Gigi Pandian,Length: 9 hrs and 53 mins
The Shadow of Dread,By: T.C. Edge,Length: 39 hrs and 46 mins
A Storm of Swords,By: George R.R. Martin,Length: 47 hrs and 34 mins
A Rough Way to Go,By: Sam Garonzik,Length: 12 hrs and 8 mins
The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
The Fake Wedding Project,By: Pippa Grant,Length: 7 hrs and 36 mins
Windswept,By: J. Dawn King,Length: 7 hrs and 18 mins
How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
Dominion Genesis,By: Jonathan D Beer,Length: 10 hrs and 47 mins
Not Till We Are Lost,By: Dennis E. Taylor,Length: 11 hrs and 41 mins
Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 49 mins
Star Wars: The High Republic: Beware the Nameless,By: Zoraida Córdova,Length: 6 hrs and 32 mins
House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
The Laws of Human Nature,By: Robert Greene,Length: 28 hrs and 26 mins
Trials of the Nekomancer,By: Dungeon Ducky,Length: 15 hrs and 42 mins
Nothing Heals Me Like You Do,By: Harper Bliss,Length: 7 hrs and 7 mins
His Path of Darkness,By: Ed James,Length: 12 hrs and 19 mins
House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
"Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
"Accomplishments of the Duke's Daughter (Light Novel), Vol. 1",By: Reia,Length: 6 hrs and 22 mins
Be Ready When the Luck Happens,By: Ina Garten,Length: 8 hrs and 47 mins
We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
The Complete Retirement Guide for People 50+,"By: Yearn More Publications, Yolanda Mabanglo",Length: 5 hrs and 49 mins
Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
Venery,By: C.M. Stunich,Length: 23 hrs and 35 mins
The Returned 1,By: Dante King,Length: 12 hrs and 49 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
Rebel Heart,By: Brighton Walsh,Length: 8 hrs and 59 mins
Twisted Lies,By: Ana Huang,Length: 16 hrs and 23 mins
The Final Empire,By: Brandon Sanderson,Length: 24 hrs and 39 mins
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
The Killer's Club,By: Dan Decker,Length: 15 hrs and 40 mins
Lovely One,By: Ketanji Brown Jackson,Length: 18 hrs and 26 mins
Will Leave the Galaxy for Good,By: Yahtzee Croshaw,Length: 9 hrs and 50 mins
Knightqueen,By: Anna Hackett,Length: 5 hrs and 4 mins
Wicked King,By: Sienna Cross,Length: 9 hrs and 39 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,By: Nick Clausen,Length: 59 hrs and 36 mins
Murder on the Nile,By: Verity Bright,Length: 8 hrs and 33 mins
He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
The Finish Line,By: Kate Stewart,Length: 14 hrs and 39 mins
Drew,By: Siobhan Davis™,Length: 10 hrs and 35 mins
Thirsting,By: Strahan Coleman,Length: 6 hrs and 40 mins
The Dungeon Anarchist's Cookbook,By: Matt Dinniman,Length: 16 hrs and 54 mins
The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
Dungeon Lord: Nightmare Kingdom,By: Hugo Huesca,Length: 29 hrs and 58 mins
Passions in Death: An Eve Dallas Novel,By: J. D. Robb,Length: 13 hrs and 54 mins
Loving the CEO,By: Layla Hagen,Length: 7 hrs and 12 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 26 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 26 hrs and 19 mins
Jones,By: Gerri Hill,Length: 6 hrs and 9 mins
The Pretenders of Copper County,By: May Archer,Length: 9 hrs and 45 mins
Hunting Adeline,By: H. D. Carlton,Length: 17 hrs and 24 mins
The Two Towers,By: J. R. R. Tolkien,Length: 16 hrs and 40 mins
Practical Adept,By: Terry Mancour,Length: 30 hrs and 21 mins
"Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 27 mins
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
The Ritual,By: Shantel Tessier,Length: 16 hrs and 12 mins
For We Are Many,By: Dennis E. Taylor,Length: 8 hrs and 59 mins
The Stand,By: Stephen King,Length: 47 hrs and 47 mins
